Fecha,ID de publicación,Red,Tipo de publicación,Tipo de contenido,Perfil,Enviado por,Enlace,Publicar,Contenido enlazado,Impresiones,Impresiones orgánicas,Impresiones pagadas,Alcance,Alcance orgánico,Alcance pagado,Alcance potencial,Índice de engagement (por impresión),Engagements,Reacciones,Me gusta,Ya no me gusta,Reacciones de Me encanta,Reacciones de Me divierte,Reacciones de Me asombra,Reacciones de Me entristece,Reacciones de Me enoja,Comentarios,Compartidos,Contenido guardado,Clics a enlaces de publicaciones,Clics de SproutLink,Otros clics en las publicaciones,Clics en la publicación (todos),Otras participaciones,Suscriptores obtenidos desde el video,Clics en anotaciones,Clics en tarjetas,Reproducciones de vídeos,Visualizaciones orgánicas de video,Visualizaciones pagadas de videos,Visualizaciones parciales de videos,Visualizaciones parciales de videos orgánicos,Visualizaciones parciales de videos pagados,Visualizaciones completas de videos,Visualizaciones completas de videos orgánicos,Visualizaciones completas de videos pagados,Tasa de visualización del video completo,Visualizaciones de video provenientes de seguidores,Visualizaciones de los videos para ti,Visualizaciones de video provenientes de un hashtag,Visualizaciones de video provenientes de la cuenta comercial,Otras reproducciones de videos,Buscar vistas de vídeo,Visualizaciones de video provenientes de sonidos,Visualizaciones de video sin origen especificado,Minutos estimados de visualización,Veces que se retrocedió en la historia para ver la anterior,Veces que se avanzó en la historia para ver la siguiente,Veces que los usuarios abandonaron la historia,Respuestas a la historia,Video agregado a las listas de reproducción,Suscriptores perdidos desde el video,Video eliminado de las listas de reproducción,Tiempo promedio de visualización del video (segundos),Etiquetas,categoria
8/5/2025 11:48 pm,137711216658272_1201810615313681,Facebook,Publicar,Foto,Secretaría de Infraestructura, ,https://www.facebook.com/460068702821213/posts/1201810615313681,"¡Buenas noches caleños!

A esta hora nuestra cuadrilla nocturna adelanta el levantamiento de la carpeta asfáltica deteriorada de la carrera 66 con calle 5.💪

Durante dos jornadas trabajaremos para dejarla  completamente pavimentada.👷‍♀️🚜

¡No paramos! Las 24 horas recuperamos a Cali🚧",https://www.facebook.com/460068702821213/posts/1201810615313681,"224,756","224,756",0,"206,980","206,980",0,,23.02%,"51,735","5,134","1,724",,150,"3,208",20,6,26,"1,966",134,,,,"44,501","44,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ESTRATEGIA ""INVERTIR PARA CRECER"""
8/6/2025 6:09 am,915743661945208_1365920001560546,Facebook,Publicar,Foto,Alejandro Eder, ,https://www.facebook.com/616727303146490/posts/1365920001560546,"Así es, sin descanso. Gracias por el compromiso, equipo. 👍🏼",https://www.facebook.com/460068702821213/posts/1201810615313681,"189,409","189,409",0,"177,221","177,221",0,,23.07%,"43,706","4,381","1,264",,108,"2,967",15,6,21,"1,578",101,,,,"37,646","37,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
8/2/2025 6:30 am,339533024337_1156046639887012,Facebook,Publicar,Foto,Secretaría del Deporte y la Recreación, ,https://www.facebook.com/770158275142519/posts/1156046639887012,"¡Primero que todo BUENOS DÍAS!☀️ 
Segundo… Palmira🫶🏼",https://www.facebook.com/photo.php?fbid=1156046593220350&set=a.393394232818927&type=3,"159,911","159,911",0,"149,810","149,810",0,,14.24%,"22,777","1,545",331,,104,"1,098",8,2,2,211,105,,1,,"20,915","20,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
8/7/2025 2:22 pm,915743661945208_1367051094780770,Facebook,Publicar,Foto,Alejandro Eder, ,https://www.facebook.com/616727303146490/posts/1367051094780770,"¡Papito, felices 90 años de vida! Gracias por ser el mejor padre y el mejor abuelo. Gracias por servir con tanta entrega a Cali, al Valle y a Colombia. ¡Te amamos, papá! ♥️🥹

#AlejandroEder #HenrryEder #Familia",https://www.facebook.com/616727303146490/posts/1367051094780770,"78,681","78,681",0,"78,450","78,450",0,,22.73%,"17,888","3,017","2,445",,551,16,3,1,1,482,57,,2,,"14,330","14,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
8/7/2025 2:22 pm,18050838776446286,Instagram,Publicar,Carrusel,alejoeder, ,https://www.instagram.com/p/DNELutZJoaz/,"¡Papito, felices 90 años de vida! Gracias por ser el mejor padre y el mejor abuelo. Gracias por servir con tanta entrega a Cali, al Valle y a Colombia. ¡Te amamos, papá! ♥️🥹

#AlejandroEder #HenrryEder #Familia",,"313,294","313,294",,"162,451","162,451",,,4.87%,"15,247","14,802","14,802",,,,,,,273,29,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
8/7/2025 7:21 am,1682719405284720_1330177395338129,Facebook,Publicar,Foto,Petronio Álvarez, ,https://www.facebook.com/855408002815073/posts/1330177395338129,"Les presentamos el cartel de artistas invitados y en concurso de nuestro Petronio Álvarez 2025 🎶

Este año haremos historia en la Casa Grande del Pacífico con 52 agrupaciones que irán por el Bombo golpeador en las modalidades de:

🔸 Marimba y cantos tradicionales
🔸 Chirimía de flauta
🔸 Chirimía de clarinete
🔸 Modalidad Libre
🔸 Violines caucanos

Además, en escenario brillarán artistas invitados nacionales e internacionales que conectan al Pacífico con el mundo:

🌍 Pongo (Angola/Portugal)
🌊 Nidia Gongora: Mi Pacífico Maravilla
Canalón de Timbiquí + Quantic (UK)
🔥 Rancho Aparte
🎻 La Sinfónica de Colombia – “10 lunas para una espera”, Arrullo Sinfónico
🌿 Semblanzas del Río Guapi – El Milagro de la Hostia: Changó, Fuego y Marea, Manglaria
🎷 Banda Departamental del Valle – Homenaje a un Vallecaucano: Petronio Álvarez “El Cuco”
💥 La Pacifican Power 
🪘 Ensamble de Músicas del Norte del Cauca
🌱 Huellas Petronito
💧 IUIPC: Raíces de Agua 
👣 Son Familia
✊🏾 Pacífico Libre
🎤 Víctor Hugo Rodríguez
❤️‍🔥Makerule

¡Nos vemos del 13 al 18 de agosto en nuestro poderosos Petronio! Entrada libre.
📍Unidad Deportiva Alberto Galindo.",https://www.facebook.com/855408002815073/posts/1330177395338129,"51,213","51,213",0,"46,316","46,316",0,,21.6%,"11,064","1,228",841,,366,4,10,4,3,80,346,,1,,"9,409","9,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
8/3/2025 2:12 pm,18105965923555453,Instagram,Reel,Video,alejoeder, ,https://www.instagram.com/reel/DM53MicpRt0/,"El lujo de vivir en la ciudad más bella, alegre y unida del mundo. ¡Te amo Cali! 😍💛

#Cali #TusismoCali #QueHacerEnCali #CaliEsCali #AlejandroEder #CaliCrece #RecuperarCali",,"141,224","141,224",,"102,298","102,298",,,7.54%,"10,654","8,688","8,688",,,,,,,218,"1,362",386,,,,,,,,,"141,224","141,224",,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
8/6/2025 7:07 pm,18020463257541484,Instagram,Publicar,Carrusel,caliculturacol, ,https://www.instagram.com/p/DNCHjRIMLM_/,"Les presentamos el cartel de artistas invitados y en concurso de nuestro @petronioco 2025 🎶

Este año haremos historia en la Casa Grande del Pacífico con 52 agrupaciones que irán por el Bombo golpeador en las modalidades de:

🔸 Marimba y cantos tradicionales
🔸 Chirimía de flauta
🔸 Chirimía de clarinete
🔸 Modalidad Libre
🔸 Violines caucanos

Además, en escenario brillarán artistas invitados nacionales e internacionales que conectan al Pacífico con el mundo:

🌍 @pongo_official (Angola/Portugal)
🌊 @nidiagongoramusic: Mi Pacífico Maravilla
@canalon_de_timbiqui + @quanticmusic (UK)
🔥 @ranchoaparte.chirimia 
🎻 La @sinfonicadecolombia – “10 lunas para una espera”, Arrullo Sinfónico
🌿 @semblanzasdelrioguapi – El Milagro de la Hostia: Changó, Fuego y Marea, Manglaria
🎷 Banda Departamental del Valle – Homenaje a un Vallecaucano: Petronio Álvarez “El Cuco”
💥 La @pacificanpower 
🪘 Ensamble de Músicas del Norte del Cauca
🌱 Huellas Petronito
💧 @iuipccali : Raíces de Agua 
👣 Son Familia
✊🏾 Pacífico Libre
🎤 Víctor Hugo Rodríguez
❤️‍🔥Makerule

¡Nos vemos del 13 al 18 de agosto en nuestro poderosos Petronio! Entrada libre.
📍Unidad Deportiva Alberto Galindo.",,"204,559","204,559",,"86,030","86,030",,,4.34%,"8,874","6,969","6,969",,,,,,,146,"1,441",318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
8/11/2025 6:05 am,915743661945208_1369960334489846,Facebook,Publicar,Foto,Alejandro Eder, ,https://www.facebook.com/616727303146490/posts/1369960334489846,"Descansa en paz Miguel. Todas nuestras oraciones están contigo, con tu familia y con Colombia. 

Los colombianos no aceptamos este nuevo descenso hacia la violencia. Exigimos respuestas claras y cárcel para sus asesinos.",https://www.facebook.com/photo.php?fbid=1369959774489902&set=a.610503703768850&type=3,"73,324","73,324",0,"71,963","71,963",0,,11.9%,"8,729","3,072","1,273",,55,79,31,"1,617",17,723,250,,,,"4,684","4,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEGURIDAD
8/1/2025 6:41 am,18075531902303614,Instagram,Reel,Video,caliculturacol, ,https://www.instagram.com/reel/DMz576ZsI6X/,"¡No es agosto, es Petronio! 🧡🍃💃🏽
Llegó el mes en el que la música del Pacífico, los saberes ancestrales, las bebidas autóctonas, los sabores de una región y las manifestaciones de nuestros pueblos se exaltan a través del Festival @petronioco.

Del 13 al 18 de agosto, nos vemos en nuestra casa grande, en la Unidad Deportiva Alberto Galindo, para vivir la versión 29 de nuestro Festival. 🤩

¡Alistá pañuelo y combo porque se metió Petronio! 🎶
#PetronioLaCasaGrandeDelPacífico #Petronio2025",,"208,704","208,704",,"134,774","134,774",,,4.11%,"8,571","6,354","6,354",,,,,,,108,"1,934",175,,,,,,,,,"208,704","208,704",,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
